airline_sentiment,text
negative,mrjustyn heard company study popular lingo advertising depressing embarrass
negative,jetblue
negative,idea cause delay flight fll gt jax
positive,work ty
neutral,im say change amaze like miami winkingface
negative,app still say cant dm
neutral,lololololol jetblue fleet fleek httptcoyxswfqtgp
negative,flight delay hope dont miss connect please dont fuck girlfriend
neutral,lmfao
neutral,whats good miami terminal
neutral,fleet fleek httptcompiyuojr oh word
neutral,everyone overreact keep swag
neutral,fleet fleek httptcokshtueq facewithtearsofjoy
neutral,mom always say never settle chip aint blue wont
positive,would prefer similar picture full e tail great shot
positive,im fly jetblue listen everyone neighboring gate bitch spirit airline well
positive,fleet fleek httptcogsnqsqz yall well
neutral,fleet fleek httptcolsybglfj let keep professional
positive,great flight bahamas even bad weather northeast thanks great service
neutral,jetblue onfleek jetblue loudlycryingface grinningfacewithsmilingeyes smilingfacewithopenmouthclosedeyes dizzyface many people even know mean lol
neutral,ceo battle appease passenger wall street waterbury republican american httptcofwcyhgdj
negative,receive voucher want improve relation front passenger
neutral,fleet fleek httptcoajmbhjvaa foh
positive,excited hear move towards international travel long beach airport
neutral,two row
neutral,fleet fleek httptcotejrntfw noooooooooooooooooo
neutral,hi guy general enquires email address please thanks david
positive,thanks much talk article twitter chat come great httptcorkorhvrz contentmarketing
negative,three hour delay flight star blank screen least head could download movie
negative,hate unamusedface httpstcogwwrvbrq
neutral,jetblue fleet fleek httptcozqutusepw
negative,really proactive passenger know entertainment system isnt work least let get mag
neutral,hi fly airline australia saw zero kangaroo rectify
neutral,jetblue fleet fleek httptcobswrpmq
neutral,facewithtearsofjoy facewithtearsofjoy jetblue fleet fleek httptcobbaonxtxd
neutral,know flight deem dark flight
neutral,jetblue fleet fleek httptcowbqiwaou
neutral,ceo battle appease passenger investor toledo blade httptcorxjxqrxz
neutral,check believe give credit automatically
neutral,fleet fleek httptcohovuaisg wtf facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
neutral,k jetblue fleet fleek httptcoiuxrgc
neutral,fleet fleek httptcoxxqscjll brandssayingbae freberg
negative,dont please dont wearyface rt jetblue fleet fleek httptcolsxjiouvr
neutral,fleet fleek httptcoproebcn lol wut
neutral,jetblue fleet fleek httptcoxilzqdwe
neutral,fleet fleek httptcollwioxvo lmfaooooo hook flight
neutral,fleet fleek httptcofvyzjldton personwalking personwalking personwalking personwalking
neutral,indeed winkingface
negative,major planewide directtv issue yesterday system keep reset crew member
negative,help since there bunch u try get time
neutral,need get yrold nassau sea meet greatgranny name turn flyingitforward
neutral,get time reply share thought great detail via web form
neutral,da fuccc rt jetblue fleet fleek httptcooajmnucha
positive,guy operate world class company thank
neutral,fleet fleek httptcowepflly lol
neutral,wow sm jetblue fleet fleek httptcolifnzku
neutral,rt jetblue fleet fleek httptcoerzhtkqz
negative,havent even get plane yet cant afford miss flight back boston ugh
negative,unfollowing jetblue
negative,land vega allow leave plane yet thanks make miss flight pm fustrated
positive,love service staff newark today good service go along way appreciate preciation nj airplane tampa bluecircle bluecircle bluecircle
neutral,whyjetblue fleet fleek httptconlzsehnee
neutral,fleet fleek httptcopadcjxlzl cmon fam loudlycryingface loudlycryingface ok
neutral,lord
neutral,jetblue fleet fleek httptcoizfofgjzui
neutral,start flight book problem flight november
neutral,fleet fleek httptcocrfrwpcsx facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
positive,show larry fedora rt jetblue fleet fleek httptcoqqlzkjkzr
neutral,fleet fleek httptcougfckermrw
neutral,fleet fleek httptcorlwbjma r u serious
neutral,nice thing rt jetblue fleet fleek httptcohprppcvhx
neutral,facewithtearsofjoy rt jetblue fleet fleek httptcorinzyskki
neutral,fleet fleek httptcoincncavn wow
positive,lolol smyc
positive,show u sense humor tongueincheek flight etiquette video httptcogguaajvdf
negative,need confirmation fleek dead amp go rt jetblue fleet fleek httptcogoyxtmj
neutral,jetblue fleet fleek httptcowhoaewhws
negative,fight air
neutral,fleet fleek httptcoqxvwgl refrain want say
neutral,fleet fleek httptcodxnrxdksjameskraw see
neutral,rt jetblue fleet fleek httptcovhfjgneozo
negative,jetblue fleet fleek httptcombipgszq
negative,stop shit stop rt jetblue fleet fleek httptcoskebqktxvx
neutral,flight rt jetblue fleet fleek httptconjgagds
neutral,fleet fleek httptcokhzrccypa
negative,get ta stop rt jetblue fleet fleek httptcopeqpqmpp
positive,true maybe wish expedite security haha
neutral,hate internet lol
positive,fleet fleek httptcoanvbjipx
negative,bad jetbae rt jetblue fleet fleek httpstcoyzxfeau
neutral,rt jetblue fleet fleek httptcodhhomgkix
neutral,fleet fleek httptcoghjbpgg
neutral,caucasity rt jetblue fleet fleek httptcocsnrpvyb
negative,rt jetblue fleet fleek httptcoutdfqfwpa
positive,move rt jetblue fleet fleek httptcotskorsn
negative,rt jetblue fleet fleek httptcofixywxyb
negative,jetblue fleet fleek httptcoaczwmuoon
neutral,read nytimes jetblue fleet fleek httptcolvirtdtqly
negative,madness jetblue fleet fleek httptcoqajtkik
